ID,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests,concat_date,day_of_the_week
91561,City Hotel,35,2017,April,13,1,2,2,3,0,0,BB,BEL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91562,City Hotel,77,2017,April,13,1,2,2,2,1,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,22,,0,Transient,0,0,2017/4/1,6 
91563,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91564,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91565,Resort Hotel,56,2017,April,13,1,2,4,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,4,No Deposit,526,,0,Transient-Party,0,1,2017/4/1,6 
91566,City Hotel,73,2017,April,13,1,2,2,3,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16,,0,Transient,0,0,2017/4/1,6 
91567,City Hotel,73,2017,April,13,1,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16,,0,Transient,0,0,2017/4/1,6 
91568,Resort Hotel,73,2017,April,13,1,2,5,2,0,0,Undefined,CHE,Direct,Direct,0,0,0,F,F,1,No Deposit,250,,0,Transient,0,1,2017/4/1,6 
91569,City Hotel,3,2017,April,13,1,0,1,2,0,0,BB,PRT,Complementary,Direct,0,0,0,F,G,0,No Deposit,,,0,Transient,0,1,2017/4/1,6 
91570,City Hotel,3,2017,April,13,1,0,1,1,0,0,BB,PRT,Complementary,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,0,1,2017/4/1,6 
91571,City Hotel,165,2017,April,13,1,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91572,Resort Hotel,170,2017,April,13,1,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,1,2,2017/4/1,6 
91573,City Hotel,64,2017,April,13,1,2,2,2,2,0,BB,GBR,Direct,Direct,0,0,0,F,F,2,No Deposit,14,,0,Transient,0,3,2017/4/1,6 
91574,City Hotel,30,2017,April,13,1,2,1,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,0,2017/4/1,6 
91575,City Hotel,37,2017,April,13,1,1,1,1,1,0,SC,AGO,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91576,City Hotel,58,2017,April,13,1,1,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,0,1,2017/4/1,6 
91577,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91578,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,105,Transient-Party,0,0,2017/4/1,6 
91579,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91580,City Hotel,57,2017,April,13,1,2,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91581,City Hotel,48,2017,April,13,1,2,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,,0,Transient,0,3,2017/4/1,6 
91582,City Hotel,102,2017,April,13,1,2,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,3,2017/4/1,6 
91583,Resort Hotel,7,2017,April,13,1,0,1,3,0,0,BB,ESP,Direct,Direct,0,0,0,A,D,0,No Deposit,250,,0,Transient,0,0,2017/4/1,6 
91584,City Hotel,18,2017,April,13,1,2,1,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,8,,0,Transient,0,0,2017/4/1,6 
91585,City Hotel,18,2017,April,13,1,2,1,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7,,0,Transient,0,1,2017/4/1,6 
91586,City Hotel,83,2017,April,13,1,2,1,2,0,0,BB,FRA,Direct,Direct,0,0,0,B,B,1,No Deposit,14,,0,Transient-Party,0,0,2017/4/1,6 
91587,City Hotel,82,2017,April,13,1,2,1,0,2,0,BB,FRA,Direct,Direct,0,0,0,B,B,0,No Deposit,14,,0,Transient-Party,0,0,2017/4/1,6 
91588,Resort Hotel,12,2017,April,13,1,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,6,,0,Transient,0,0,2017/4/1,6 
91589,City Hotel,47,2017,April,13,1,2,1,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,0,0,2017/4/1,6 
91590,City Hotel,115,2017,April,13,1,2,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91591,City Hotel,110,2017,April,13,1,2,1,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,0,3,2017/4/1,6 
91592,City Hotel,212,2017,April,13,1,2,1,2,0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,296,,50,Transient-Party,0,0,2017/4/1,6 
91593,City Hotel,48,2017,April,13,1,2,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,,0,Transient,0,3,2017/4/1,6 
91594,City Hotel,117,2017,April,13,1,2,1,2,0,0,SC,SUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,4,2017/4/1,6 
91595,City Hotel,120,2017,April,13,1,2,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,159,,0,Transient,0,0,2017/4/1,6 
91596,City Hotel,86,2017,April,13,1,2,2,3,0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,0,2,2017/4/1,6 
91597,City Hotel,86,2017,April,13,1,2,2,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91598,City Hotel,149,2017,April,13,1,2,1,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,0,2017/4/1,6 
91599,City Hotel,150,2017,April,13,1,2,1,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,0,2017/4/1,6 
91600,City Hotel,74,2017,April,13,1,2,1,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91601,City Hotel,162,2017,April,13,1,2,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91602,City Hotel,194,2017,April,13,1,1,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,0,0,2017/4/1,6 
91603,City Hotel,194,2017,April,13,1,1,1,3,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,0,0,2017/4/1,6 
91604,City Hotel,69,2017,April,13,1,1,1,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,2,2017/4/1,6 
91605,Resort Hotel,62,2017,April,13,1,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,1,0,2017/4/1,6 
91606,City Hotel,57,2017,April,13,1,1,1,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,2,2017/4/1,6 
91607,City Hotel,75,2017,April,13,1,1,1,2,0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,0,1,2017/4/1,6 
91608,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91609,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91610,Resort Hotel,0,2017,April,13,1,0,1,2,0,0,BB,AGO,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,1,0,2017/4/1,6 
91611,Resort Hotel,0,2017,April,13,1,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,,0,Transient,0,0,2017/4/1,6 
91612,City Hotel,149,2017,April,13,1,2,1,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,0,2017/4/1,6 
91613,Resort Hotel,1,2017,April,13,1,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,330,,0,Transient,0,1,2017/4/1,6 
91614,City Hotel,30,2017,April,13,1,1,1,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,0,0,2017/4/1,6 
91615,Resort Hotel,33,2017,April,13,1,2,4,2,0,0,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,250,,0,Transient,0,1,2017/4/1,6 
91616,City Hotel,66,2017,April,13,1,1,1,2,0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,0,0,2017/4/1,6 
91617,City Hotel,55,2017,April,13,1,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91618,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91619,City Hotel,2,2017,April,13,1,1,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91620,City Hotel,194,2017,April,13,1,1,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,0,0,2017/4/1,6 
91621,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91622,City Hotel,208,2017,April,13,1,2,1,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,2,2017/4/1,6 
91623,City Hotel,86,2017,April,13,1,1,1,3,0,0,BB,BIH,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91624,City Hotel,37,2017,April,13,1,1,1,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91625,Resort Hotel,47,2017,April,13,1,2,3,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,0,1,2017/4/1,6 
91626,Resort Hotel,92,2017,April,13,1,1,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,0,1,2017/4/1,6 
91627,Resort Hotel,70,2017,April,13,1,2,5,2,0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,250,,0,Transient,0,0,2017/4/1,6 
91628,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91629,Resort Hotel,265,2017,April,13,1,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,,0,Transient,0,1,2017/4/1,6 
91630,City Hotel,162,2017,April,13,1,2,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91631,Resort Hotel,25,2017,April,13,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,,0,Transient,1,0,2017/4/1,6 
91632,City Hotel,73,2017,April,13,1,2,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91633,City Hotel,88,2017,April,13,1,2,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,,0,Transient,0,2,2017/4/1,6 
91634,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91635,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91636,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91637,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91638,City Hotel,43,2017,April,13,1,1,1,2,2,0,BB,CZE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,,0,Transient,0,0,2017/4/1,6 
91639,City Hotel,103,2017,April,13,1,2,5,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,,0,Transient,0,0,2017/4/1,6 
91640,Resort Hotel,63,2017,April,13,1,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,0,1,2017/4/1,6 
91641,Resort Hotel,94,2017,April,13,1,2,3,3,1,0,HB,BEL,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,0,0,2017/4/1,6 
91642,Resort Hotel,22,2017,April,13,1,2,1,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,0,2,2017/4/1,6 
91643,Resort Hotel,35,2017,April,13,1,2,4,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,0,1,2017/4/1,6 
91644,Resort Hotel,48,2017,April,13,1,2,5,2,0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,250,,0,Transient,0,0,2017/4/1,6 
91645,City Hotel,0,2017,April,13,1,1,1,1,0,0,BB,PRT,Corporate,Direct,1,0,7,A,A,2,No Deposit,,163,0,Transient,0,1,2017/4/1,6 
91646,Resort Hotel,69,2017,April,13,1,2,5,2,2,0,BB,DEU,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,0,0,2017/4/1,6 
91647,City Hotel,212,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,50,Transient-Party,0,0,2017/4/1,6 
91648,Resort Hotel,177,2017,April,13,1,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,0,0,2017/4/1,6 
91649,Resort Hotel,174,2017,April,13,1,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,0,2,2017/4/1,6 
91650,Resort Hotel,40,2017,April,13,1,2,2,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,95,,0,Transient,0,0,2017/4/1,6 
91651,Resort Hotel,27,2017,April,13,1,2,3,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240,,0,Transient,0,2,2017/4/1,6 
91652,Resort Hotel,57,2017,April,13,1,2,6,2,0,0,HB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,0,1,2017/4/1,6 
91653,City Hotel,115,2017,April,13,1,0,1,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,1,2017/4/1,6 
91654,Resort Hotel,264,2017,April,13,1,2,5,3,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Transient,0,0,2017/4/1,6 
91655,City Hotel,88,2017,April,13,1,2,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,,0,Transient,0,2,2017/4/1,6 
91656,City Hotel,162,2017,April,13,1,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,,0,Transient-Party,0,0,2017/4/1,6 
91657,Resort Hotel,265,2017,April,13,1,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,0,1,2017/4/1,6 
91658,City Hotel,150,2017,April,13,1,2,1,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,0,2017/4/1,6 
91659,City Hotel,72,2017,April,13,1,2,4,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,0,0,2017/4/1,6 
91660,Resort Hotel,30,2017,April,13,1,2,5,2,0,0,BB,BRA,Direct,Direct,0,0,0,A,A,1,No Deposit,250,,0,Transient,1,0,2017/4/1,6 
91661,Resort Hotel,265,2017,April,13,1,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,0,1,2017/4/1,6 
91662,City Hotel,91,2017,April,13,1,2,5,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,0,1,2017/4/1,6 
91663,City Hotel,76,2017,April,14,2,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,0,0,2017/4/2,0 
91664,Resort Hotel,84,2017,April,14,2,2,2,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,0,2,2017/4/2,0 
91665,City Hotel,72,2017,April,14,2,2,5,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,132,,0,Transient-Party,0,0,2017/4/2,0 
91666,City Hotel,123,2017,April,14,2,2,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,0,2017/4/2,0 
91667,City Hotel,7,2017,April,14,2,2,2,1,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,1,No Deposit,14,,0,Transient,0,0,2017/4/2,0 
91668,Resort Hotel,38,2017,April,14,2,2,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,0,0,2017/4/2,0 
91669,City Hotel,64,2017,April,14,2,2,4,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,0,0,2017/4/2,0 
91670,City Hotel,89,2017,April,14,2,2,1,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,0,2017/4/2,0 
91671,City Hotel,6,2017,April,14,2,1,0,2,0,0,BB,NLD,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,0,1,2017/4/2,0 
91672,Resort Hotel,117,2017,April,14,2,2,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,0,1,2017/4/2,0 
91673,City Hotel,64,2017,April,14,2,2,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,1,2017/4/2,0 
91674,Resort Hotel,76,2017,April,14,2,2,1,2,0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,250,,0,Transient,1,0,2017/4/2,0 
91675,City Hotel,91,2017,April,14,2,2,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,0,4,2017/4/2,0 
91676,Resort Hotel,15,2017,April,14,2,2,2,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Transient,0,0,2017/4/2,0 
91677,Resort Hotel,3,2017,April,14,2,2,1,2,0,0,BB,NPL,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,0,1,2017/4/2,0 
91678,Resort Hotel,160,2017,April,14,2,2,3,2,0,0,BB,,Direct,Direct,0,1,4,E,E,0,No Deposit,,,0,Transient,0,3,2017/4/2,0 
91679,City Hotel,91,2017,April,14,2,2,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,,0,Transient,0,4,2017/4/2,0 
91680,City Hotel,91,2017,April,14,2,2,2,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,0,4,2017/4/2,0 
